date,pst,storage
19880101,0000,65676
19880201,0000,70380
19880301,0000,80712
19880401,0000,93380
19880501,0000,102400
19880601,0000,94337
19880701,0000,80060
19880801,0000,62828
19880901,0000,60869
19881001,0000,60300
19881101,0000,66000
19881201,0000,63700
19890101,0000,56400
19890201,0000,56700
19890301,0000,92500
19890401,0000,127900
19890501,0000,132600
19890601,0000,127200
19890701,0000,110300
19890801,0000,92100
19890901,0000,81200
19891001,0000,68900
19891101,0000,60800
19891201,0000,55800
19900101,0000,59700
19900201,0000,62200
19900301,0000,74400
19900401,0000,96800
19900501,0000,109700
19900601,0000,106200
19900701,0000,86400
19900801,0000,64700
19900901,0000,48500
19901001,0000,34272
19901101,0000,33883
19901201,0000,33650
19910101,0000,33439
19910201,0000,33826
19910301,0000,44173
19910401,0000,60467
19910501,0000,88149
19910601,0000,96851
19910701,0000,76854
19910801,0000,54846
19910901,0000,34451
19911001,0000,29231
19911101,0000,29713
19911201,0000,30400
19920101,0000,30898
19920201,0000,38666
19920301,0000,51073
19920401,0000,70002
19920501,0000,74901
19920601,0000,74146
19920701,0000,52448
19920801,0000,33854
19920901,0000,32991
19921001,0000,33100
19921101,0000,33100
19921201,0000,36100
19930101,0000,47000
19930201,0000,43800
19930301,0000,57000
19930401,0000,76300
19930501,0000,124000
19930601,0000,132100
19930701,0000,116900
19930801,0000,96500
19930901,0000,75300
19931001,0000,54846
19931101,0000,54750
19931201,0000,55366
19940101,0000,56277
19940201,0000,57826
19940301,0000,67681
19940401,0000,82366
19940501,0000,96123
19940601,0000,87735
19940701,0000,69601
19940801,0000,47449
19940901,0000,45804
19941001,0000,40063
19941101,0000,41732
19941201,0000,41959
19950101,0000,61594
19950201,0000,56952
19950301,0000,56958
19950401,0000,92230
19950501,0000,120520
19950601,0000,135416
19950701,0000,132331
19950801,0000,111729
19950901,0000,91429
19951001,0000,69700
19951101,0000,56500
19951201,0000,65400
19960101,0000,77600
19960201,0000,105600
19960301,0000,104500
19960401,0000,123800
19960501,0000,135600
19960601,0000,130000
19960701,0000,114000
19960801,0000,100400
19960901,0000,90000
19961001,0000,76000
19961101,0000,68800
19961201,0000,95100
19970101,0000,110500
19970201,0000,97200
