date,Control,Treatment,weln_8,weln_50,weln_75,wmln_8,wmln_50,wmln_75,eeln_8,eeln_50,eeln_75,emln_8,emln_50,emln_75,welt_8,welt_50,welt_75,wmlt_8,wmlt_50,wmlt_75,eelt_8,eelt_50,eelt_75,emlt_8,emlt_50,emlt_75
10/17/80,0.741270123,0.742547088,0.741751805,0.764435978,0.845483755,0.740681275,0.757469075,0.757304378,0.759510865,0.876407283,0.94896866,0.740742191,0.747969676,0.751075227,0.743288224,0.74329048,0.744280917,0.743288224,0.743288224,0.743287096,0.743314169,0.988556823,1.131875807,0.743288224,0.751784777,0.755943937
10/18/80,0.677265087,0.677989302,0.677781738,0.682169895,0.737094042,0.676754075,0.687430042,0.687097264,0.68888524,0.767859642,0.822012196,0.676761972,0.684851295,0.686088778,0.677173714,0.677179354,0.677620426,0.677173714,0.677173714,0.677172586,0.677225605,0.825970561,0.936082823,0.677173714,0.686199327,0.687194277
10/19/80,0.662675878,0.663369635,0.664758278,0.683734515,0.724917755,0.662164866,0.671599966,0.671219809,0.669949613,0.722758647,0.761375549,0.662169378,0.670551997,0.670756176,0.663119205,0.663124846,0.665347125,0.663119205,0.663119205,0.663119205,0.66317448,0.75548256,0.834082446,0.663119205,0.672178661,0.672373815
10/20/80,0.737748318,0.738412745,0.742932885,0.7212211,0.751775752,0.737253099,0.746468227,0.746075662,0.751052666,0.790910434,0.818098954,0.737257611,0.745677456,0.745863586,0.741404362,0.741408875,0.743498043,0.741404362,0.741404362,0.741404362,0.741457381,0.816015425,0.868840252,0.741404362,0.750389366,0.750572112
10/21/80,0.645609447,0.646215216,0.648950763,0.656534715,0.674443807,0.64510746,0.653525049,0.653111051,0.650014524,0.671572892,0.686789303,0.64510746,0.653527305,0.653721332,0.642515177,0.642519689,0.646406986,0.642515177,0.642515177,0.642515177,0.642564811,0.6755008,0.708358952,0.642515177,0.651326459,0.65150018
10/22/80,0.580845226,0.581411512,0.582532805,0.58846302,0.601017207,0.580342111,0.588628845,0.588235152,0.584406514,0.600298633,0.608519939,0.580339855,0.588712321,0.588890555,0.581232151,0.581236663,0.583376594,0.581232151,0.581233279,0.581232151,0.581279529,0.598899837,0.618160346,0.581232151,0.590006207,0.590169776
10/23/80,0.558082089,0.558629198,0.558796151,0.563697575,0.572502089,0.557591382,0.565731469,0.565355824,0.560901113,0.574065581,0.577527599,0.557589126,0.565814945,0.565979642,0.558448709,0.558453221,0.559610611,0.558448709,0.558448709,0.558448709,0.558493831,0.571515036,0.58263997,0.558448709,0.56706822,0.567220509
10/24/80,0.536741436,0.537303211,0.536937719,0.541215325,0.548399944,0.536302621,0.544317492,0.543959897,0.53922881,0.551664552,0.552789228,0.536299237,0.544396456,0.544551001,0.537130617,0.537134002,0.537726233,0.537130617,0.537130617,0.537130617,0.537173484,0.548246528,0.552301906,0.537130617,0.545609122,0.545752385
10/25/80,0.516088901,0.516657444,0.516130639,0.519897234,0.525635679,0.515692952,0.523511541,0.523171994,0.518384505,0.530438961,0.529696697,0.515689568,0.523587121,0.523731512,0.516492747,0.516496131,0.516894336,0.516492747,0.516492747,0.516492747,0.516533357,0.52665883,0.528408452,0.516492747,0.524759176,0.524894543
10/26/80,0.494935507,0.495501793,0.494593704,0.497823342,0.502678515,0.494570015,0.502147199,0.501822317,0.49708559,0.508701232,0.506634624,0.494565503,0.502217139,0.502353634,0.495342737,0.495346121,0.495352889,0.495342737,0.495342737,0.495342737,0.495382219,0.504994424,0.504284874,0.495342737,0.503351968,0.50347831
10/27/80,0.582949059,0.580412051,0.582909577,0.603172931,0.656790785,0.582610641,0.599771828,0.599599235,0.643503358,0.718300551,0.748344192,0.58270427,0.590153983,0.59229617,0.580256378,0.580259762,0.580146956,0.580256378,0.580256378,0.580256378,0.58029022,0.710141288,0.753007595,0.580256378,0.588440459,0.590572493
10/28/80,0.571399974,0.573794846,0.572015895,0.565249787,0.597683788,0.571087501,0.579817563,0.579584054,0.579827715,0.651923203,0.681611505,0.571150672,0.57880682,0.579206154,0.573511703,0.573516215,0.573935854,0.573511703,0.573511703,0.573511703,0.573579387,0.672034269,0.728562519,0.573511703,0.58189545,0.582285759
10/29/80,0.578723344,0.581138522,0.582670428,0.57561328,0.601866637,0.578523677,0.587630511,0.587429716,0.597749216,0.652701565,0.680092007,0.57858008,0.586123422,0.586506963,0.57939454,0.579399052,0.579590822,0.57939454,0.57939454,0.57939454,0.579458839,0.662701823,0.709575001,0.57939454,0.587480479,0.587856123
10/30/80,0.487354939,0.489697921,0.489709201,0.498573502,0.517779864,0.487171065,0.495518714,0.49532356,0.499961017,0.542580279,0.563012842,0.4872207,0.494519252,0.494884744,0.489581731,0.489586243,0.492126636,0.489581731,0.489581731,0.489581731,0.489643774,0.542939002,0.57375198,0.489581731,0.497288641,0.497646237
10/31/80,0.465384828,0.46765223,0.466660665,0.473461743,0.485566963,0.465211107,0.472801828,0.47261457,0.471004827,0.498000448,0.512010962,0.465258486,0.472272767,0.47262021,0.467538296,0.467543937,0.468959653,0.467538296,0.467539424,0.467539424,0.467596955,0.48830815,0.510274876,0.467538296,0.474836849,0.475176395
11/1/80,0.447790466,0.4499868,0.448436844,0.454438127,0.463445692,0.447626897,0.454900632,0.454721271,0.452849818,0.474500687,0.48484726,0.447673147,0.454396389,0.454725783,0.449875122,0.449879634,0.450726808,0.449875122,0.44987625,0.44987625,0.449931525,0.465190802,0.479889433,0.449875122,0.45687361,0.457196236
11/2/80,0.431012819,0.433139213,0.431369286,0.436765928,0.443950547,0.430858274,0.437818409,0.437646944,0.435734881,0.454797979,0.461729912,0.430902269,0.437335599,0.4376492,0.433029791,0.433034304,0.4336412,0.433029791,0.433030919,0.433030919,0.43308281,0.445093272,0.454033154,0.433029791,0.439730472,0.440036176
11/3/80,0.414234044,0.416292755,0.414246452,0.419077936,0.425999717,0.414088524,0.420740698,0.420576001,0.418551132,0.435596129,0.440860789,0.414130262,0.420279321,0.420577129,0.416186717,0.416190101,0.416287114,0.416186717,0.416186717,0.416186717,0.416236352,0.426798384,0.433528394,0.416186717,0.422594102,0.422885141
11/4/80,0.399401174,0.401395585,0.399268062,0.403880703,0.410576871,0.399264678,0.405619044,0.405461116,0.403209507,0.418458631,0.422732853,0.39930416,0.405179101,0.405461116,0.401291803,0.401295187,0.401261346,0.401291803,0.401291803,0.401291803,0.401339182,0.411463527,0.415908086,0.401291803,0.407416045,0.40769242
11/5/80,0.384835654,0.386766894,0.384708183,0.389112132,0.394170356,0.384705927,0.390777149,0.390625989,0.38818261,0.402495444,0.404762846,0.384744281,0.390356383,0.390624861,0.38666424,0.386668752,0.386636039,0.38666424,0.386665368,0.386665368,0.386710491,0.396417453,0.3998163,0.38666424,0.392518875,0.392781713
11/6/80,0.370579223,0.372449547,0.37045852,0.37466393,0.379515719,0.370457392,0.376259008,0.376114616,0.373550534,0.387079366,0.388988045,0.37049349,0.375856291,0.376111232,0.372350278,0.372353662,0.372322076,0.372350278,0.372350278,0.372350278,0.372394272,0.381701901,0.384011041,0.372350278,0.377947715,0.378197016
11/7/80,0.356786424,0.358599218,0.35667249,0.360688386,0.365342765,0.356671362,0.36221578,0.362077029,0.359529868,0.372556713,0.373200836,0.356706332,0.361831112,0.362073645,0.358502205,0.358504461,0.358474003,0.358502205,0.358502205,0.358502205,0.358542815,0.367469159,0.369100335,0.358502205,0.363852597,0.364090617
11/8/80,0.34328241,0.3450388,0.343175244,0.347028699,0.351493563,0.343175244,0.348473745,0.348341762,0.345874693,0.358379246,0.358648853,0.343207958,0.348105997,0.348336122,0.344944043,0.344947427,0.34491697,0.344944043,0.344944043,0.344944043,0.344983525,0.353545506,0.353895205,0.344944043,0.350062054,0.350286538
11/9/80,1.226817909,1.228581067,1.233709231,1.281049427,1.390925924,1.226712999,1.242798017,1.242775455,1.304684555,1.557199816,1.66784001,1.226909282,1.23167985,1.234166096,1.228462621,1.228468261,1.231595246,1.228462621,1.228463749,1.228463749,1.228478414,1.610187083,1.794093692,1.228462621,1.234979428,1.237465674
11/10/80,0.451499529,0.454954779,0.461081277,0.51439681,0.62451584,0.451351753,0.467185213,0.467157012,0.480313584,0.774417059,0.893043923,0.451563829,0.458353626,0.460114529,0.454661483,0.454667124,0.464352653,0.454661483,0.454662611,0.45466374,0.455795184,0.881004131,1.111395865,0.454661483,0.463346423,0.46683213
11/11/80,0.943350918,0.947542792,0.951056701,1.010044123,1.117280958,0.943109513,0.961705594,0.961809375,0.979480446,1.280335365,1.408927517,0.943328357,0.951131153,0.954840216,0.947053213,0.94703742,0.954676647,0.947053213,0.947054341,0.947055469,0.948648291,1.350906842,1.590235074,0.947053213,0.956488313,0.962187276
11/12/80,0.830212069,0.83378351,0.837753155,0.892902915,0.988352644,0.830063165,0.848035429,0.848148235,0.861036328,1.150044353,1.272062167,0.830284265,0.839977691,0.84356718,0.82933331,0.829340079,0.837382023,0.82933331,0.829334438,0.829336694,0.831190098,1.189573856,1.409244502,0.82933331,0.840386049,0.845894369
11/13/80,0.572167055,0.576326215,0.577380951,0.624946759,0.705432763,0.571962876,0.58987648,0.589954316,0.598463278,0.813597991,0.91730174,0.572141109,0.583797361,0.586882607,0.572777336,0.572784104,0.578012665,0.572777336,0.572778464,0.572781848,0.574547263,0.817119797,0.989124237,0.572777336,0.585394695,0.590649201
11/14/80,0.548360462,0.552290625,0.552705752,0.596318835,0.665197093,0.547906981,0.566151107,0.566192845,0.578036355,0.73581595,0.821045448,0.548041221,0.560593152,0.56353175,0.55006609,0.55007173,0.55427714,0.55006609,0.550067218,0.550070602,0.550918903,0.716295987,0.851488422,0.55006609,0.563336596,0.568277502
11/15/80,0.518440908,0.522293235,0.520076596,0.550789176,0.607201236,0.518110386,0.533314388,0.533246704,0.541061909,0.654283106,0.721423023,0.518246881,0.531094365,0.531991173,0.520735383,0.520763585,0.522666623,0.520735383,0.520735383,0.520739895,0.520947459,0.632451747,0.732987901,0.520735383,0.534302569,0.53536069
11/16/80,0.495841339,0.499824522,0.497019035,0.519144818,0.564188282,0.495784936,0.50983042,0.509706334,0.513347714,0.595953343,0.646015549,0.495912407,0.508803885,0.509410782,0.498814907,0.498820548,0.499953121,0.498814907,0.498816036,0.49881942,0.498919817,0.567020842,0.640455338,0.498814907,0.512216269,0.512815269
11/17/80,0.473748271,0.47763444,0.474511968,0.491796114,0.523688646,0.47369638,0.48697027,0.486843927,0.487026673,0.540724619,0.575238764,0.473820466,0.486258464,0.486841671,0.476981293,0.476986933,0.477748374,0.476981293,0.476982421,0.476985805,0.47708169,0.516922538,0.566976848,0.476981293,0.489803959,0.490374757
11/18/80,0.453584185,0.457261663,0.453847024,0.469017184,0.493702536,0.45348266,0.466172215,0.466043616,0.463348679,0.505471594,0.533123746,0.453602234,0.465489738,0.466042488,0.45708907,0.457093582,0.45749066,0.45708907,0.45708907,0.457092454,0.457183827,0.483309713,0.521619783,0.45708907,0.469334169,0.469873382
11/19/80,0.435371645,0.438950982,0.435419024,0.448889197,0.468710351,0.435292681,0.447422718,0.447302015,0.44329176,0.478200726,0.497722945,0.435407743,0.446769571,0.447296375,0.438920524,0.438925037,0.439064916,0.438920524,0.438920524,0.438923908,0.439010769,0.460270201,0.486135505,0.438920524,0.450635435,0.451150958
11/20/80,0.417940851,0.421343082,0.417922802,0.4303608,0.445447484,0.417803228,0.429397436,0.429282374,0.424662965,0.454854382,0.469392828,0.417914906,0.428773618,0.429275605,0.42133857,0.421343082,0.421400613,0.42133857,0.42133857,0.421340826,0.421424303,0.440810026,0.458877046,0.42133857,0.432532317,0.433024151
11/21/80,0.401544489,0.404855347,0.401543361,0.41286909,0.425934289,0.401429427,0.412512623,0.412404329,0.407491625,0.435867992,0.446417616,0.401537721,0.411914751,0.412394177,0.404860987,0.4048655,0.404919647,0.404860987,0.404862115,0.404864372,0.404943336,0.423260786,0.436552725,0.404860987,0.415566283,0.416034429
11/22/80,0.385688468,0.388940667,0.385731334,0.396127541,0.407341593,0.385625296,0.396220042,0.396117389,0.391106543,0.415902446,0.42337472,0.385729078,0.395646988,0.39610498,0.388944051,0.388948563,0.389000454,0.388944051,0.388945179,0.388947435,0.389023015,0.406459449,0.416270193,0.388944051,0.399184586,0.399631298
11/23/80,0.37076084,0.373934075,0.370826268,0.380455394,0.390763613,0.370724742,0.380858112,0.380761098,0.375813424,0.398776228,0.405452091,0.37082514,0.380307618,0.380746434,0.373940843,0.373944228,0.37399499,0.373940843,0.373940843,0.3739431,0.374015295,0.390595532,0.398947693,0.373940843,0.383735795,0.384162201
11/24/80,0.356408524,0.35949941,0.356490872,0.365685695,0.374293926,0.356393859,0.366082773,0.365990272,0.361192629,0.383222527,0.388187122,0.356490872,0.365557096,0.365974479,0.359503923,0.359508435,0.359554685,0.359503923,0.359503923,0.359506179,0.359576118,0.37547839,0.381225859,0.359503923,0.368871339,0.369278569
11/25/80,0.342323558,0.345327584,0.342412675,0.351193499,0.359477977,0.342320174,0.351587192,0.351499204,0.346839185,0.36792828,0.372343509,0.342413803,0.351082949,0.351481155,0.345332096,0.34533548,0.345379474,0.345332096,0.345332096,0.345334352,0.34539978,0.360670337,0.365540175,0.345332096,0.354292282,0.354681463
11/26/80,0.330038977,0.332958398,0.330133734,0.338521993,0.346495126,0.330045745,0.338908918,0.33882657,0.334379754,0.354681463,0.358892514,0.33013599,0.338427236,0.338807393,0.33295727,0.332960654,0.33300352,0.33295727,0.33295727,0.332959526,0.333022697,0.347689743,0.352341865,0.33295727,0.341530531,0.341901663
11/27/80,0.318539526,0.321375471,0.318638795,0.326651411,0.334326736,0.318556447,0.327034951,0.326957115,0.322712223,0.342257002,0.346272899,0.318643308,0.326572446,0.326935682,0.321374343,0.321377727,0.321419465,0.321374343,0.321375471,0.321376599,0.321436386,0.335524736,0.339964783,0.321374343,0.3295776,0.329931811
