Date,Control,Treatment,NewFireModel_Treatment,NewFireModel_Control,OldFireModel_Extreme_Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Treatment,OldFireModel_Moderate_Treatment,bias_cor
1980-11-14,0.901197545,0.909229338,0.878969109,0.899299019,1.05822134,0.911427928,0.994331365,0.888263201,1.06706579
1980-11-15,0.809428679,0.821873445,0.803272852,0.81286024,0.915494587,0.822418298,0.86095398,0.810598478,1.06706579
1980-11-16,0.735029691,0.748322759,0.731921884,0.737107579,0.779776475,0.746438897,0.751406877,0.742301171,1.06706579
1980-11-17,0.658731049,0.671473623,0.659022089,0.660556252,0.67829275,0.669791685,0.658949893,0.668456061,1.06706579
1980-11-18,0.61949033,0.63012907,0.609768702,0.611600673,0.623167807,0.629004394,0.613637951,0.627912431,1.06706579
1980-11-19,0.557608303,0.564578591,0.546979715,0.547996098,0.55735449,0.564319137,0.550881677,0.564418406,1.06706579
1980-11-20,0.508192476,0.512525357,0.496177502,0.496297076,0.507593476,0.51228508,0.502341225,0.513197681,1.06706579
1980-11-21,0.502451775,0.504581554,0.468588521,0.467284483,0.503979169,0.504096488,0.499997115,0.506281541,1.06706579
1980-11-22,0.435336675,0.43717767,0.434940726,0.434059711,0.438848328,0.435437073,0.433769799,0.436540316,1.06706579
1980-11-23,0.406740337,0.408143644,0.405417121,0.403837836,0.409021275,0.406467346,0.404909494,0.408392945,1.06706579
1980-11-24,0.375902541,0.376696696,0.370362635,0.369217653,0.37707798,0.375101618,0.372667263,0.376148458,1.06706579
1980-11-25,0.352567477,0.352861901,0.346377808,0.346263874,0.35224034,0.35131533,0.34786572,0.351566887,1.06706579
1980-11-26,0.339665847,0.340524301,0.336146298,0.334845644,0.340419391,0.339029621,0.336908867,0.340456618,1.06706579
1980-11-27,0.355164273,0.356327304,0.35794043,0.356865389,0.356992859,0.354963478,0.353617702,0.356244955,1.06706579
1980-11-28,0.367545867,0.369286465,0.37160463,0.370036625,0.371770455,0.367900078,0.368399809,0.369066493,1.06706579
1980-11-29,0.966725464,0.9697058,0.986103291,0.981734312,1.40054377,0.968568715,1.717164464,0.973402455,1.06706579
1980-11-30,0.469855333,0.473924248,0.490399575,0.485944863,0.640411343,0.471487637,0.604578495,0.475030876,1.06706579
1980-12-1,1.537257959,1.520193784,1.543898852,1.542478624,2.393581249,1.519861007,2.882054096,1.524774839,1.06706579
1980-12-2,1.098105054,1.096919462,1.074335687,1.108439218,2.487370473,1.112461883,2.653439057,1.081184143,1.06706579
1980-12-3,0.884751548,0.88972968,0.864608896,0.898800416,2.250106592,0.94632223,1.845694573,0.909579037,1.06706579
1980-12-4,0.76686582,0.785856722,0.769095997,0.791078515,1.874310089,0.844353438,1.341250643,0.816192531,1.06706579
1980-12-5,0.705124802,0.728984414,0.714812587,0.730889708,1.521485414,0.764012955,1.04305682,0.743492403,1.06706579
1980-12-6,0.648874055,0.669758971,0.663968635,0.672017348,1.197280767,0.692065243,0.879763264,0.679292212,1.06706579
1980-12-7,0.602912349,0.621486997,0.615031106,0.620475127,0.981491778,0.634438262,0.776056131,0.625634876,1.06706579
1980-12-8,0.555117545,0.569525137,0.567741673,0.568252684,0.811429859,0.57712601,0.677087981,0.573677528,1.06706579
1980-12-9,0.516848086,0.529036782,0.527221732,0.527044627,0.695176435,0.533861497,0.611522837,0.531193634,1.06706579
1980-12-10,0.488723276,0.487863694,0.484411828,0.487066155,0.606649615,0.489472309,0.560250222,0.486291178,1.06706579
1980-12-11,0.441569211,0.444711988,0.445252329,0.444301374,0.539678907,0.445291811,0.513433446,0.44500754,1.06706579
1980-12-12,0.428703678,0.432998206,0.436568518,0.435397591,0.51016207,0.432446584,0.5015764,0.433671658,1.06706579
1980-12-13,0.421883423,0.426391154,0.429436918,0.430624766,0.644236597,0.425752672,0.734220872,0.42582938,1.06706579
1980-12-14,0.439126959,0.443246637,0.448994106,0.449376519,1.061357348,0.442084735,1.097766636,0.443662891,1.06706579
1980-12-15,0.524804298,0.533546769,0.543556051,0.536921926,1.727883297,0.52892736,1.531055881,0.5367279,1.06706579
1980-12-16,0.702271936,0.710026226,0.728603129,0.720062582,2.565122057,0.710661324,2.092176965,0.718420125,1.06706579
1980-12-17,0.965793686,0.978540772,1.005722522,1.002209741,3.529544021,0.997089474,2.790914688,0.996902216,1.06706579
1980-12-18,1.121445758,1.135750696,1.168923577,1.179199082,4.029028996,1.174187108,2.94285544,1.157580927,1.06706579
1980-12-19,1.216532251,1.225317588,1.24657138,1.266228965,3.882678912,1.268853963,2.734694398,1.243261649,1.06706579
1980-12-20,1.241550381,1.245879878,1.272695009,1.284071502,3.505031261,1.28233316,2.535686441,1.261418915,1.06706579
1980-12-21,1.327539065,1.333212082,1.369460057,1.37465252,3.448104806,1.362249493,2.656840161,1.34982052,1.06706579
1980-12-22,1.268117339,1.277146337,1.30685156,1.310600105,3.254342331,1.302009923,2.431766104,1.29478131,1.06706579
1980-12-23,2.137245247,2.11477879,2.134843606,2.14617836,4.680570915,2.131075883,3.986857575,2.115870753,1.06706579
1980-12-24,1.724091885,1.760800109,1.737251841,1.792840417,4.707677085,1.77847118,3.430468705,1.742542446,1.06706579
1980-12-25,1.739747112,1.783108637,1.759968728,1.810730332,4.654906405,1.800643213,3.381059646,1.761951859,1.06706579
1980-12-26,1.835672882,1.879620999,1.875423485,1.899174803,4.563246961,1.89336529,3.621647921,1.868575028,1.06706579
1980-12-27,1.925401086,1.983863961,1.992429326,1.992652682,4.781694788,1.984890496,3.585727084,1.983412736,1.06706579
1980-12-28,1.840071191,1.911001392,1.918248054,1.907124247,4.167187103,1.904418029,2.954682029,1.908380907,1.06706579
1980-12-29,1.941632752,2.031188363,2.063591907,2.035236973,4.186502887,2.014179464,3.195792596,2.037398338,1.06706579
1980-12-30,1.98233431,2.052640694,2.095511513,2.070159477,3.910703325,2.050867382,3.088370759,2.065071923,1.06706579
1980-12-31,2.008796358,2.074646902,2.122344693,2.089704256,3.626427514,2.073163502,2.935867104,2.08817235,1.06706579
1981-1-1,1.832534617,1.889365187,1.923784575,1.903777291,3.063640284,1.910251231,2.44959172,1.911745912,1.06706579
1981-1-2,1.734250072,1.756818054,1.788480462,1.779056643,2.678791094,1.772806059,2.21560824,1.767081151,1.06706579
1981-1-3,3.891383029,3.772936655,3.67842096,3.774633258,5.833071056,3.781113967,6.068523271,3.670310204,1.06706579
1981-1-4,4.045806643,4.049815771,3.903875173,3.988516952,6.145052037,4.011897138,5.305143158,3.925311711,1.06706579
1981-1-5,3.335691301,3.45761887,3.381255929,3.387931792,4.938169217,3.405554356,3.930594419,3.377207319,1.06706579
1981-1-6,3.005748209,3.155781411,3.132542232,3.10098699,4.076802367,3.090727278,3.374868849,3.074091767,1.06706579
1981-1-7,2.679536742,2.751118962,2.743544034,2.756482891,3.387137637,2.724496729,2.866093165,2.677462238,1.06706579
1981-1-8,2.366849595,2.451484605,2.471253869,2.482238924,2.889409052,2.438622457,2.504972732,2.40039248,1.06706579
1981-1-9,2.085418754,2.072597216,2.112408734,2.11578502,2.368374733,2.054868614,2.108685006,2.035553958,1.06706579
1981-1-10,1.982051167,1.805993605,1.853312367,1.857467015,2.030086248,1.793437161,1.848460578,1.780270436,1.06706579
1981-1-11,1.744873019,1.68691326,1.729991643,1.735618409,1.840337413,1.676735897,1.730754212,1.667999067,1.06706579
1981-1-12,1.590693066,1.546089546,1.59975365,1.601364521,1.678871316,1.539413683,1.599786364,1.536363407,1.06706579
1981-1-13,1.554542105,1.518475748,1.56385763,1.566346132,1.59149963,1.514263569,1.551578689,1.511932996,1.06706579
1981-1-14,1.486591112,1.455465661,1.487459719,1.493959605,1.53245242,1.453561495,1.51672951,1.446308064,1.06706579
1981-1-15,1.457867302,1.436783848,1.44946325,1.464699966,1.455159957,1.434782668,1.460488915,1.419711777,1.06706579
1981-1-16,1.371161172,1.352383474,1.358469361,1.370888182,1.343409751,1.352622623,1.356397114,1.339328427,1.06706579
1981-1-17,1.242520514,1.225213806,1.223881567,1.235925871,1.199443259,1.226477234,1.216241211,1.21451415,1.06706579
1981-1-18,1.210274898,2.458903861,1.211104023,2.477425489,2.429763797,2.460316193,1.198740478,1.193903353,1.06706579
1981-1-19,1.145574977,2.09768303,1.15954488,2.12712203,2.046991366,2.098752431,1.125421044,1.131328698,1.06706579
1981-1-20,1.163276505,1.475533861,1.156015178,1.476199417,1.425812329,1.477320709,1.148826047,1.15497285,1.06706579
1981-1-21,1.206843338,1.352831314,1.180169214,1.334297277,1.312520065,1.354749017,1.206612085,1.200579217,1.06706579
1981-1-22,3.122164074,3.165017972,3.043057689,3.110091568,4.215460205,3.16166876,4.715632169,3.09318645,1.06706579
1981-1-23,3.507602112,3.37239614,3.183867866,3.283092086,5.355718631,3.327198131,5.136447319,3.225271078,1.06706579
1981-1-24,3.03780995,3.077221007,2.962096772,2.974010221,5.038761774,3.064057667,3.572242246,3.058080073,1.06706579
1981-1-25,2.611022847,2.6824054,2.59272683,2.621357011,3.934693792,2.680042113,2.943496179,2.650524149,1.06706579
1981-1-26,2.190773983,2.266578535,2.206986472,2.229590552,3.074347836,2.265697519,2.388479031,2.234719844,1.06706579
1981-1-27,2.450278709,2.431755952,2.333376649,2.391293542,3.75575065,2.42288601,3.900119859,2.342092047,1.06706579
1981-1-28,1.830945179,1.923436005,1.866149698,1.90149184,2.994714647,1.910330195,2.238417627,1.871558749,1.06706579
1981-1-29,1.578488578,1.638209239,1.602119193,1.626251796,2.390482467,1.630533914,1.790383501,1.608782648,1.06706579
1981-1-30,1.336120223,1.376483363,1.352771527,1.364594731,1.86116367,1.373794066,1.478677766,1.359510561,1.06706579
1981-1-31,1.160298425,1.187493712,1.173401978,1.175531757,1.507258312,1.184977009,1.27652816,1.178663253,1.06706579
1981-2-1,1.036970932,1.044817722,1.02622841,1.033177264,1.244653676,1.04169525,1.109707158,1.030562419,1.06706579
1981-2-2,0.931295333,0.921740659,0.909715532,0.91391079,1.062923097,0.922724328,0.978191073,0.91517873,1.06706579
1981-2-3,0.81118507,0.812352612,0.80591477,0.808615347,0.915569039,0.813420886,0.873848842,0.808804861,1.06706579
1981-2-4,0.734131755,0.737791184,0.73448371,0.734385569,0.825766382,0.735852048,0.809985941,0.73391968,1.06706579
1981-2-5,0.692434119,0.693645656,0.688570511,0.690456629,0.773948914,0.692439759,0.766398803,0.686940463,1.06706579
1981-2-6,0.658234703,0.658201989,0.654496309,0.655238573,0.726659481,0.657667288,0.732596464,0.652325921,1.06706579
1981-2-7,0.628608444,0.628211367,0.624720019,0.625936068,0.707579462,0.628206855,0.711718317,0.622587984,1.06706579
1981-2-8,0.780607856,0.745757549,0.744173751,0.749173316,1.090541407,0.755318991,1.232258545,0.74132427,1.06706579
1981-2-9,1.121617223,1.066299382,1.016853097,1.014991797,1.886415308,1.016139035,1.804335355,1.025383492,1.06706579
1981-2-10,0.823896058,0.809807707,0.774133916,0.809287671,1.811022499,0.815956766,1.187098891,0.808834191,1.06706579
1981-2-11,1.667309821,1.568400331,1.48420188,1.488279819,3.107102207,1.497294152,2.948918767,1.499585243,1.06706579
1981-2-12,1.332720248,1.283245761,1.221940174,1.297353288,2.902966086,1.334871459,1.964576379,1.304980107,1.06706579
1981-2-13,7.604415148,7.162470293,7.00288016,6.863110055,12.22292806,6.895389512,13.79595344,6.939093968,1.06706579
1981-2-14,12.3654935,11.06201484,10.83589394,10.53955691,19.60075416,10.62126799,15.63119766,11.04115023,1.06706579
1981-2-15,10.01711815,10.23336062,10.07600405,9.618521288,16.06021381,9.71288131,11.87914479,10.28655884,1.06706579
1981-2-16,10.3067703,11.08177395,11.0170447,10.43614646,14.90811977,10.49926935,13.43109461,11.03126278,1.06706579
1981-2-17,8.920627355,9.935160032,9.795564775,9.265415726,12.48318858,9.29403237,11.39788138,9.784637251,1.06706579
1981-2-18,6.829615676,7.75935767,7.703833394,7.238908814,9.875157355,7.259801627,8.703202678,7.717480672,1.06706579
1981-2-19,5.547421268,6.246671129,6.24653689,5.869074241,8.027105135,5.893179771,7.086304762,6.241636595,1.06706579
1981-2-20,4.412779456,4.904040868,4.920754216,4.644585778,6.172807971,4.656007393,5.435176971,4.918190134,1.06706579
1981-2-21,3.732963824,4.112524665,4.143068037,3.901808566,5.561476904,3.905955317,5.056216258,4.139584586,1.06706579
1981-2-22,3.259473879,3.582667783,3.636128836,3.394766712,5.339965264,3.38894479,4.814940994,3.626444435,1.06706579
1981-2-23,4.546743433,4.987548946,4.922776829,4.390715716,7.489217588,4.413916541,7.379489996,4.929236104,1.06706579
1981-2-24,3.63392799,4.200714195,4.135556281,3.651170398,6.445769332,3.672632881,4.808754709,4.136670805,1.06706579
1981-2-25,3.009367028,3.368257285,3.307652224,3.02242433,4.927428951,3.046567085,3.802753555,3.311886964,1.06706579
1981-2-26,2.517112921,2.756002337,2.711545464,2.533931178,3.853948334,2.554083983,3.08330351,2.716649939,1.06706579
1981-2-27,2.173369135,2.332971676,2.301402897,2.19159634,3.132410249,2.203800828,2.62033386,2.303170568,1.06706579
1981-2-28,1.894170726,2.001598203,1.978729028,1.913908404,2.595958724,1.922483922,2.253258394,1.979011043,1.06706579
1981-3-1,1.746069892,1.829188789,1.805113717,1.747858996,2.482086636,1.741626461,2.518673029,1.801803987,1.06706579
1981-3-2,1.599398311,1.646084231,1.639280897,1.605791031,2.185817285,1.592385157,2.203113839,1.637059746,1.06706579
1981-3-3,1.584028484,1.637413957,1.631567218,1.578813459,2.462070327,1.554002892,2.522165505,1.632242926,1.06706579
1981-3-4,1.515229189,1.606405824,1.604079763,1.510859082,2.427112854,1.493814085,2.283059502,1.616143244,1.06706579
1981-3-5,1.583066248,1.737428947,1.732004103,1.568013406,3.120283596,1.553204225,2.682311771,1.737541753,1.06706579
1981-3-6,1.647094974,1.875317447,1.862410177,1.635963271,3.543385325,1.635327044,2.955442342,1.874953084,1.06706579
1981-3-7,1.731647636,1.985979074,1.964505311,1.721245788,3.779048488,1.737351111,3.04958916,1.990929005,1.06706579
1981-3-8,1.936762914,2.213696177,2.186226771,1.922030441,4.203909991,1.943885489,3.551986788,2.214439569,1.06706579
1981-3-9,2.20690638,2.516838802,2.503290793,2.217386064,4.744993333,2.231570299,3.936913815,2.520432804,1.06706579
1981-3-10,2.572586434,2.918598751,2.908452973,2.572231095,5.460288731,2.588935418,4.619464994,2.922360833,1.06706579
1981-3-11,2.899320193,3.307239353,3.299816714,2.900433589,6.134355765,2.915821465,5.125184761,3.319945829,1.06706579
1981-3-12,3.06061821,3.50986613,3.487725682,3.061875997,6.495552907,3.105405604,5.325171875,3.530331407,1.06706579
1981-3-13,2.990289265,3.421551385,3.413392122,3.019936956,6.191495424,3.061370626,6.503416618,3.455527445,1.06706579
1981-3-14,2.466564521,2.778137144,2.764798954,2.495677512,4.638177265,2.531372737,3.67391323,2.801735046,1.06706579
1981-3-15,2.316983671,2.498457053,2.481284585,2.30194775,3.825089157,2.324666893,3.378706511,2.502771885,1.06706579
1981-3-16,1.989599021,2.072008368,2.068660284,1.968530231,2.970153381,1.973056011,2.511548198,2.074404369,1.06706579
1981-3-17,1.89026538,2.0091156,2.014591206,1.883438356,3.006422789,1.886295734,2.947534636,2.013429304,1.06706579
1981-3-18,3.436591818,3.581071578,3.513579706,3.300610869,4.447849735,3.301841583,4.790013108,3.508230442,1.06706579
1981-3-19,6.618768722,6.914284529,6.74825317,6.39745562,7.749258142,6.468728751,8.256172526,6.775944804,1.06706579
1981-3-20,6.025349003,6.680404831,6.74666486,6.347554726,7.176276628,6.350551984,6.307733055,6.822653286,1.06706579
1981-3-21,4.568700006,4.989001889,5.024207535,4.794373063,5.316230866,4.813433905,4.653671179,5.027515009,1.06706579
1981-3-22,3.767845717,3.960469979,3.920378701,3.851596328,4.188704861,3.860281267,3.887091886,3.908458484,1.06706579
1981-3-23,2.976358843,3.102307949,3.078508124,3.054780495,3.556307261,3.050672098,3.570433965,3.060486227,1.06706579
1981-3-24,2.427890088,2.534438806,2.534793017,2.530297695,3.415035706,2.521832727,3.488755602,2.515954403,1.06706579
1981-3-25,12.81107184,12.41234073,12.25120064,12.43582808,14.08592483,12.44742229,17.66699076,12.17624778,1.06706579
1981-3-26,13.23865986,13.83685466,13.97914937,13.88863491,15.42316521,13.92829865,13.16242101,14.13950771,1.06706579
1981-3-27,10.3896241,10.83536827,10.88765163,10.74435746,11.55756063,10.79598203,9.730757688,10.91064376,1.06706579
1981-3-28,9.262469231,9.224618282,9.064299423,9.181843348,9.882915028,9.220370006,9.426182425,9.026945949,1.06706579
1981-3-29,6.186665068,6.453604841,6.50251417,6.354790108,7.150899774,6.377855565,6.529543632,6.460038172,1.06706579
1981-3-30,4.678608089,4.877893549,4.980313565,4.826017422,5.228711404,4.838579506,4.528649339,4.938046258,1.06706579
1981-3-31,3.686363636,3.826819602,3.898300297,3.796060771,4.103641187,3.801213752,3.676883414,3.862532876,1.06706579
1981-4-1,3.349252846,3.419353923,3.415967485,3.378316202,3.692742819,3.378304922,3.759174314,3.387437701,1.06706579
1981-4-2,2.561347566,2.64970292,2.708844887,2.629867101,2.88672878,2.633011006,2.739021639,2.685883211,1.06706579
1981-4-3,2.162501398,2.252988787,2.304767902,2.210349221,2.590215767,2.212855772,2.466091863,2.287716136,1.06706579
1981-4-4,2.037167085,2.163388054,2.210545503,2.091344457,3.072275589,2.089934381,3.173749162,2.199132913,1.06706579
1981-4-5,2.162217127,2.327374238,2.382847752,2.214220725,3.882678912,2.214414752,3.712919313,2.367349326,1.06706579
