date,Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Control,Treatment,OldFireModel_Moderate_Treatment,OldFireModel_Extreme_Treatment
3/31/92,956,956,956,956,956,956
4/30/92,87,87,87,87,87,87
5/31/92,7635,7635,7634,7634,7634,7635
6/30/92,18863,18863,18863,18862,18862,18864
7/31/92,38312,38311,40823,38654,38885,40181
8/31/92,37360,37360,39719,37538,37538,39066
9/30/92,31682,31687,33599,31689,31764,32733
10/31/92,381,381,381,381,381,381
11/30/92,25058,25630,35028,26085,26086,32271
12/31/92,36921,37377,53324,37940,38169,47732
1/31/93,5931,5930,5933,5931,5931,5932
2/28/93,18850,18850,20140,18850,18968,20021
3/31/93,26528,26654,29802,27249,27485,29312
4/30/93,57542,57786,67239,59491,59493,63078
5/31/93,90957,90960,90981,90934,90936,91006
6/30/93,89441,89444,89882,89420,89423,89902
7/31/93,87376,87379,87664,87241,87362,87802
8/31/93,62870,62872,64560,62625,62625,64571
9/30/93,53133,53134,53881,52776,52895,53894
10/31/93,232,232,248,232,232,248
11/30/93,8703,8929,17148,9043,9065,13317
12/31/93,24144,24370,44785,25166,25505,40012
1/31/94,7172,7172,7173,7172,7172,7172
2/28/94,2079,2079,2080,2079,2079,2080
3/31/94,842,842,842,842,842,842
4/30/94,823,823,823,823,823,823
5/31/94,7450,7450,7450,7449,7450,7450
6/30/94,12240,12240,12241,12240,12240,12241
7/31/94,39944,40059,43335,40290,40638,42172
8/31/94,35753,35944,40586,36171,36168,39203
9/30/94,34211,34209,36407,34206,34257,35654
10/31/94,622,622,622,622,622,622
11/30/94,26552,26553,28067,26551,26551,28418
12/31/94,34753,34867,44041,34636,34636,41292
1/31/95,28520,28520,29591,28521,28638,29591
2/28/95,49454,49691,51354,49692,49691,50876
3/31/95,49557,49556,52228,49812,49812,51393
4/30/95,89679,89677,89742,89692,89693,89743
5/31/95,93796,93795,93800,93797,93797,93801
6/30/95,90560,90560,90560,90560,90560,90560
7/31/95,91289,91289,91289,91289,91289,91289
8/31/95,88277,88277,88277,88277,88277,88277
9/30/95,74186,74186,74069,74186,74186,73952
10/31/95,402,402,403,402,402,403
11/30/95,9769,9996,19807,10111,10225,17070
12/31/95,29740,30308,53426,32353,32355,46352
1/31/96,3409,3409,3433,3409,3409,3424
2/29/96,13526,13900,16929,14020,14021,15796
3/31/96,43374,43378,46929,43621,43626,45750
4/30/96,61389,61519,65841,61759,62009,66746
5/31/96,93992,93994,93757,93992,93992,93840
6/30/96,61171,61183,60443,61138,61175,60725
7/31/96,86842,86841,86839,86839,86839,86840
8/31/96,65115,65113,64746,65109,65109,64982
9/30/96,52328,52324,52188,52317,52318,52200
10/31/96,648,648,648,648,648,648
11/30/96,38901,38901,39021,38901,38901,39022
12/31/96,83307,83316,83647,83308,83317,83515
1/31/97,93129,93129,93129,93129,93129,93129
2/28/97,82765,82765,82766,82765,82765,82766
3/31/97,74371,74373,75833,74373,74616,75475
4/30/97,52751,52754,53364,52753,52877,53366
5/31/97,63220,63228,63249,63226,63226,63250
6/30/97,7131,7132,7135,7132,7132,7136
7/31/97,70442,70569,73089,70567,70567,73090
8/31/97,54700,54707,55190,54705,54707,55191
9/30/97,46714,46953,47948,46952,46955,47953
10/31/97,558,558,558,558,558,558
11/30/97,49797,50033,56435,49790,49911,54572
12/31/97,76675,76675,76749,76670,76674,76719
1/31/98,6351,6351,6351,6351,6351,6351
2/28/98,11475,11476,13392,11714,11715,13150
3/31/98,47396,47601,51662,48702,49050,50848
4/30/98,75407,77090,83360,77466,77448,81541
5/31/98,91719,91684,91706,91688,91701,91727
6/30/98,88228,88217,88225,88217,88221,88189
7/31/98,91140,91140,91140,91140,91140,91140
8/31/98,86107,86107,86344,86107,86107,86344
9/30/98,72600,72601,73252,72601,72601,73234
10/31/98,632,632,632,632,632,632
11/30/98,28053,28170,32478,28053,28171,31783
12/31/98,43646,43878,54682,43763,43993,52501
1/31/99,3917,3917,3927,3917,3917,3919
2/28/99,7565,7564,7583,7565,7565,7569
3/31/99,20296,20296,26090,20895,21015,23298
4/30/99,15982,16103,22935,16342,16342,19812
5/31/99,84393,84602,88354,85391,85300,88257
6/30/99,88106,88215,89074,88111,88063,87994
7/31/99,88910,88922,89140,88941,88942,89063
8/31/99,75059,75069,77335,75550,75667,76922
9/30/99,59740,59863,62493,60092,60090,61871
10/31/99,604,604,605,604,604,604
11/30/99,44952,45068,49582,45069,45186,48059
12/31/99,76061,76288,85325,77087,77088,85216
1/31/00,5389,5389,5389,5389,5389,5389
2/29/00,6878,6878,6878,6878,6878,6878
3/31/00,10630,10630,15193,10870,10990,13994
4/30/00,15309,15430,21209,15791,15791,19163
5/31/00,69720,69722,63777,69713,69712,63799
6/30/00,13087,13689,21748,15137,15378,22956
7/31/00,84798,84787,84689,84750,84748,84809
8/31/00,60456,60450,60375,60421,60420,60493
9/30/00,50565,50560,50751,50536,50537,50761
10/31/00,476,476,476,476,476,476
11/30/00,30921,31269,34876,31268,31152,33936
12/31/00,42942,43056,52012,43056,43284,48561
1/31/01,4909,4909,4909,4909,4909,4909
2/28/01,1291,1291,1291,1291,1291,1291
3/31/01,1471,1471,1471,1471,1471,1471
4/30/01,873,873,873,872,873,873
5/31/01,1090,1090,1090,1090,1090,1090
6/30/01,14808,14808,14808,14807,14808,14808
7/31/01,38411,38411,42253,38532,38806,41782
8/31/01,34304,34325,36347,34580,34584,35853
9/30/01,28297,28299,30499,28418,28536,29576
10/31/01,384,384,384,384,384,384
11/30/01,25387,25500,28720,25376,25492,28028
12/31/01,35838,35838,45446,35833,35833,42128
1/31/02,1170,1170,1170,1170,1170,1170
2/28/02,1343,1343,1462,1343,1343,1343
3/31/02,3067,3067,3069,3067,3067,3068
4/30/02,19583,19583,24931,20671,20671,23344
5/31/02,45538,45538,45564,45531,45530,45546
6/30/02,39691,39691,41210,38861,38740,39694
7/31/02,85013,85013,84898,85139,85138,85019
8/31/02,62438,62438,62328,62444,62441,62441
9/30/02,52830,52945,52841,53069,52949,52833
10/31/02,2291,2290,446,2292,2293,443
11/30/02,8991,9107,19624,9110,9340,17733
12/31/02,32792,33711,52991,34521,35099,46707
1/31/03,2349,2349,2352,2349,2349,2351
2/28/03,782,782,783,782,782,782
3/31/03,2253,2253,2257,2253,2253,2255
4/30/03,4791,4791,8952,5036,5281,7118
5/31/03,73070,72912,67121,71961,72128,69242
6/30/03,80043,80046,76925,79634,79968,78123
7/31/03,87022,87144,87296,87146,87147,87160
8/31/03,63504,63855,64550,63854,63855,64080
9/30/03,51181,51060,51705,51057,51175,51597
10/31/03,539,539,540,540,539,539
11/30/03,34093,34207,39206,34096,34209,37466
12/31/03,73947,73945,81898,74485,74597,80862
1/31/04,803,803,803,803,803,803
2/29/04,2565,2565,2565,2565,2565,2565
3/31/04,3925,3925,5010,3925,4046,4768
