date,Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Control,Treatment,OldFireModel_Moderate_Treatment,OldFireModel_Extreme_Treatment
25Oct1989,129916,130097,131239,130164,130229,130701
26Oct1989,130029,130211,131485,130277,130342,130947
27Oct1989,130070,130251,131658,130318,130382,131086
28Oct1989,130095,130276,131749,130343,130408,131178
29Oct1989,130004,130186,131691,130252,130317,131120
30Oct1989,129933,130114,131619,130181,130245,131048
31Oct1989,129999,130181,131851,130247,130312,131214
01Nov1989,130126,130307,132077,130374,130439,131407
02Nov1989,130227,130408,132277,130475,130540,131574
03Nov1989,130117,130298,132332,130365,130430,131563
04Nov1989,130009,130190,132357,130224,130289,131488
05Nov1989,129868,130016,132282,130050,130115,131413
06Nov1989,129380,129528,131676,129562,129626,130813
07Nov1989,128686,128834,131009,128868,128932,130113
08Nov1989,127948,128096,130252,128130,128195,129363
09Nov1989,127428,127576,129725,127609,127674,128803
10Nov1989,126910,127059,129235,127059,127157,128247
11Nov1989,126440,126588,128686,126589,126687,127698
12Nov1989,126084,126232,128213,126233,126331,127336
13Nov1989,125758,125906,127840,125906,126004,127003
14Nov1989,125273,125421,127455,125421,125519,126617
15Nov1989,124965,125113,126963,125113,125211,126125
16Nov1989,124470,124618,126456,124619,124717,125658
17Nov1989,123893,124041,125938,124041,124139,125107
18Nov1989,123529,123605,125391,123678,123703,124599
19Nov1989,123207,123282,124950,123355,123381,124092
20Nov1989,122809,122885,124507,122925,122950,123616
21Nov1989,122409,122485,124029,122525,122550,123138
22Nov1989,121968,122043,123614,122083,122109,122690
23Nov1989,121525,121601,123238,121641,121666,122248
24Nov1989,121154,121230,122821,121270,121295,121870
25Nov1989,121015,121090,122636,121130,121156,121725
26Nov1989,120926,121002,122469,121042,121067,121597
27Nov1989,120635,120711,122205,120751,120776,121333
28Nov1989,120167,120243,121725,120283,120308,120892
29Nov1989,119367,119443,121156,119483,119508,120257
30Nov1989,118845,118921,120556,118961,118986,119729
01Dec1989,118357,118432,120061,118472,118498,119273
02Dec1989,117877,117953,119569,117993,118018,118821
03Dec1989,117510,117514,119078,117626,117579,118297
04Dec1989,117007,117010,118595,117122,117075,117853
05Dec1989,116512,116516,118161,116595,116581,117425
06Dec1989,116091,116094,117576,116173,116159,116997
07Dec1989,115608,115612,116930,115691,115677,116430
08Dec1989,115084,115087,116315,115166,115152,115860
09Dec1989,114622,114626,115808,114705,114691,115392
10Dec1989,114233,114237,115328,114316,114302,114885
