date,Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Control,Treatment,OldFireModel_Moderate_Treatment,OldFireModel_Extreme_Treatment
06May2000,122908,123216,134704,124285,124493,131012
07May2000,123149,123456,134932,124529,124736,131250
08May2000,122782,123090,134520,124165,124373,130882
09May2000,122449,122756,134075,123834,124043,130513
10May2000,122415,122722,133996,123803,124012,130444
11May2000,122404,122712,133940,123796,124004,130432
12May2000,122610,122918,134100,124004,124213,130636
13May2000,122788,123096,134266,124185,124394,130812
14May2000,122954,123262,134386,124354,124563,130943
15May2000,123239,123547,134626,124642,124852,131226
16May2000,123538,123845,134912,124944,125153,131522
17May2000,123837,124144,134993,125245,125455,131819
18May2000,124285,124592,134993,125696,125906,132265
19May2000,124787,125095,134993,126202,126412,132766
20May2000,125312,125619,134993,126729,126940,133288
21May2000,125786,126094,134993,127206,127417,133761
22May2000,126340,126647,134993,127763,127974,134312
23May2000,126951,127258,134993,128376,128587,134888
24May2000,127606,127913,134993,129035,129246,134993
25May2000,128239,128546,134993,129670,129882,134993
26May2000,128828,129135,134993,130262,130474,134993
27May2000,129358,129665,134993,130795,131007,134993
28May2000,129869,130175,134993,131309,131488,134993
29May2000,130361,130668,134993,131804,131983,134993
30May2000,130838,131144,134993,132283,132463,134993
31May2000,131084,131391,134993,132531,132711,134993
01Jun2000,131026,131334,134860,132473,132653,134862
02Jun2000,130963,131270,134760,132409,132589,134764
03Jun2000,130926,131234,134693,132372,132553,134700
04Jun2000,130819,131128,134560,132264,132446,134569
05Jun2000,130741,131051,134460,132186,132368,134471
06Jun2000,130693,131003,134393,132137,132320,134406
07Jun2000,130576,130886,134260,132020,132203,134275
08Jun2000,130470,130780,134143,131913,132097,134161
09Jun2000,130487,130798,134117,131931,132114,134137
10Jun2000,130501,130812,134121,131944,132128,134142
11Jun2000,130378,130690,133988,131821,132005,134011
12Jun2000,130322,130634,133921,131764,131949,133947
13Jun2000,130232,130545,133821,131674,131859,133849
14Jun2000,130044,130357,133622,131485,131671,133652
15Jun2000,129690,130003,133258,131131,131317,133290
16Jun2000,129402,129716,132960,130842,131029,132994
17Jun2000,129114,129429,132661,130554,130741,132698
18Jun2000,128760,129075,132264,130200,130355,132303
19Jun2000,128373,128689,131834,129813,129968,131875
20Jun2000,128020,128336,131470,129459,129614,131513
21Jun2000,127666,127982,131039,129072,129194,131085
22Jun2000,127345,127662,130675,128751,128874,130723
23Jun2000,127058,127375,130378,128463,128586,130427
24Jun2000,126737,127055,130047,128142,128266,130098
25Jun2000,126384,126702,129683,127788,127912,129737
26Jun2000,126096,126415,129385,127500,127625,129441
27Jun2000,125842,126161,129087,127212,127338,129146
28Jun2000,125522,125841,128756,126891,127017,128817
29Jun2000,125135,125455,128327,126471,126598,128389
30Jun2000,124795,125115,127947,126098,126224,128011
01Jul2000,124408,124727,127558,125710,125837,127622
02Jul2000,124086,124406,127235,125389,125515,127299
03Jul2000,123798,124118,126945,125101,125227,127009
04Jul2000,123345,123665,126490,124647,124774,126555
05Jul2000,122859,123178,125969,124128,124254,126034
06Jul2000,122340,122659,125448,123608,123734,125513
07Jul2000,121886,122206,124993,123155,123281,125058
08Jul2000,121500,121819,124604,122768,122894,124669
09Jul2000,121113,121432,124216,122381,122507,124281
10Jul2000,120693,121012,123761,121928,122054,123826
11Jul2000,120273,120592,123339,121508,121634,123405
12Jul2000,119820,120139,122885,121055,121181,122950
13Jul2000,119334,119653,122397,120569,120695,122463
14Jul2000,118849,119167,121909,120083,120209,121975
15Jul2000,118396,118714,121455,119630,119756,121521
16Jul2000,117910,118229,120967,119144,119270,121034
17Jul2000,117458,117776,120513,118691,118817,120580
18Jul2000,117005,117323,120059,118239,118364,120126
19Jul2000,116388,116706,119439,117621,117746,119506
20Jul2000,115869,116154,118886,117069,117195,118953
21Jul2000,115285,115570,118300,116485,116610,118367
22Jul2000,114700,114985,117714,115900,116025,117781
23Jul2000,113951,114235,116962,115150,115276,117030
24Jul2000,113301,113585,116310,114500,114625,116378
25Jul2000,112816,113100,115790,114015,114140,115858
26Jul2000,112165,112450,115138,113364,113489,115206
27Jul2000,111548,111833,114519,112747,112872,114588
28Jul2000,110898,111182,113868,112097,112222,113936
